Id	Airline
1	Lufthansa
2	Ryanair
3	Easyjet
4	British Airways
5	Turkish Airlines
6	Air Berlin
7	Air France
8	Scandinavian Airlines
9	KLM
10	Alitalia
11	Swiss International Air Lines
12	Iberia
13	Norwegian Air Shuttle
14	Austrian Airlines
15	Flybe
16	Wizz Air
17	TAP Portugal
18	Brussels Airlines
19	Finnair
20	LOT Polish Airlines
21	Vueling Airlines
22	Air Nostrum
23	Air Lingus
24	Germanwings
25	Pegasus Airlines
26	Netjets
27	Transavia Holland
28	Niki
29	SunExpress
30	Aegean Airlines
31	Czech Airlines
32	European Air Transport
33	Malev Hungarian Airlines
34	Air Baltic
35	Wideroe
36	TNT Airways
37	Olympic Air
38	All